Timestamp,Channel,Message
2019-03-30 18:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-03-30 18:00:00,/SmartHome/data/sensor,testfile/632
2019-03-30 19:00:00,/SmartHome/watering_array_v4/device,
2019-03-30 19:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-03-30 19:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-03-30 19:00:00,/SmartHome/data/sensor,testfile/632
2019-03-30 20:00:00,/SmartHome/watering_array_v4/device,
2019-03-30 20:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-03-30 20:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-03-30 20:00:00,/SmartHome/data/sensor,testfile/632
2019-03-30 21:00:00,/SmartHome/watering_array_v4/device,
2019-03-30 21:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-03-30 21:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-03-30 21:00:00,/SmartHome/data/sensor,testfile/632
2019-03-30 22:00:00,/SmartHome/watering_array_v4/device,
2019-03-30 22:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-03-30 22:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-03-30 22:00:00,/SmartHome/data/sensor,testfile/633
2019-03-30 23:00:00,/SmartHome/watering_array_v4/device,
2019-03-30 23:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-03-30 23:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-03-30 23:00:00,/SmartHome/data/sensor,testfile/633
2019-03-31 00:00:00,/SmartHome/watering_array_v4/device,
2019-03-31 00:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-03-31 00:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-03-31 00:00:00,/SmartHome/data/sensor,testfile/633
2019-03-31 01:00:00,/SmartHome/watering_array_v4/device,
2019-03-31 01:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-03-31 01:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-03-31 01:00:00,/SmartHome/data/sensor,testfile/632
2019-03-31 03:00:00,/SmartHome/watering_array_v4/device,
2019-03-31 03:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-03-31 03:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-03-31 03:00:00,/SmartHome/data/sensor,testfile/632
2019-03-31 04:00:00,/SmartHome/watering_array_v4/device,
2019-03-31 04:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-03-31 04:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-03-31 04:00:00,/SmartHome/data/sensor,testfile/630
2019-03-31 05:00:00,/SmartHome/watering_array_v4/device,
2019-03-31 05:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-03-31 05:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-03-31 05:00:00,/SmartHome/data/sensor,testfile/630
2019-03-31 06:00:00,/SmartHome/watering_array_v4/device,
2019-03-31 06:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-03-31 06:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-03-31 06:00:00,/SmartHome/data/sensor,testfile/631
2019-03-31 07:00:00,/SmartHome/watering_array_v4/device,
2019-03-31 07:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-03-31 07:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-03-31 07:00:00,/SmartHome/data/sensor,testfile/630
2019-03-31 08:00:00,/SmartHome/watering_array_v4/device,
2019-03-31 08:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-03-31 08:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-03-31 08:00:00,/SmartHome/data/sensor,testfile/631
2019-03-31 09:00:00,/SmartHome/watering_array_v4/device,
2019-03-31 09:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-03-31 09:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-03-31 09:00:00,/SmartHome/data/sensor,testfile/630
2019-03-31 10:00:00,/SmartHome/watering_array_v4/device,
2019-03-31 10:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-03-31 10:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-03-31 10:00:00,/SmartHome/data/sensor,testfile/631
2019-03-31 11:00:00,/SmartHome/watering_array_v4/device,
2019-03-31 11:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-03-31 11:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-03-31 11:00:00,/SmartHome/data/sensor,testfile/631
2019-03-31 11:43:20,/SmartHome/watering_array_v4/device,
2019-03-31 11:43:20,/SmartHome/44/device,
2019-03-31 11:43:21,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-01 22:00:00,/SmartHome/watering_array_v4/device,
2019-04-01 22:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
2019-04-01 22:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-01 22:00:00,/SmartHome/data/sensor,testfile/499
2019-04-01 23:00:00,/SmartHome/watering_array_v4/device,
2019-04-01 23:00:00,/SmartHome/watering_array_v4/deviceinformation,watering_array_v4/8/4
2019-04-01 23:00:00,/SmartHome/watering_array_v4/sensor/testfile,7
